Bidding Remarks,Cluster
0 achieve for NRT and there is no much combination,0
0 achieved  - disappointing,2
0 bidding flight ☹️☹️,0
0 bids awarded,4
0 of my biggest off day bids were met. two single of days,4
0 standing preferences achieved,2
0245 and 0300 avls were rostered when I’ve made it VERY CLEAR that my preference is pm avls since 2019 - there is plenty of options to roster me avls after 0900 there is also minimum 5 crew who got no shifts that could b used for am avls over me,3
"1 morning stby was the only bid I achieved, arvo duties with young kids is fatiguing at best. How do I go from being given mostly what I bid for in August to nothing in November weigh no change in my bids??????",2
2 highest bids are trips but did not receive any,4
2 trips and I ask for early 2 sector days. I am a primary carere,0
25 words? 25 characters!!,0
4 of my bids were for trips and I’ve only got one trip.,3
A mixture of short two sectors and long four sectors. Majority four sectors.,0
Absolutely nothing what I bid for. CANNOT get any days off or any bids for that matter!,4
"Absolutely terrible, I got 0 bid satisfaction. It’s pathetic when we live by a roster getting day off bids are critical.",3
Achieved 0,2
Achieved zero bids,2
"Again, received 0 of my preferences and have been allocated shifts opposite to what I bid for.",1
All I request is Saigon and I received one. Everyone on the FO chat doesn’t request saigons and they have 2 or 3 each.,0
Although I got my day off requests. The time and effort I had to put in with trying to swap is relentless.,0
Always never get any bids except for days off  But good enough,4
Am prefer and got more lates,3
As above,0
"As preference for dps trips only one was adhered to. Didn’t get the only one highest bid for 2 day off satisfaction, boc standbys and afternoons rostered when mornings preference.",1
"Ask for early mornings & no overnights, I get late's & overnights",0
Asked for (1) day off in highest and high and still didn’t get it off,0
Asked for afternoon shifts and got mornings or BOCs,3
Asked for cairns got Honolulu (like always),3
Barely got any of my bids.,3
Bid for AMs rostered all PMs,1
Bid for min time over nights.,1
Bid for mornings get majority lates. No balance of 2 sectors between morning shifts and lates causing all crew wanting a shifts. Pairings need balance to fix rosters,1
"Bid for mornings, get too many lates.",1
Bid for PM standbys and got 3 AM ones; multiple shifts outside my bidding hours requests,0
Bid for SGN and never get it at all!,1
Bid for two trips. Did not receive either. Bid for a specific 7 day off bloc. Did not receive it. Please explain the hierarchy of bid allocations - from what I can see it is done on an alphabetical allocation of surname which would be completely ludi,1
Bidded for mornings and got evenings,3
buddy system not work,0
Days off request denied,0
Did not get any bidding dessination,0
Did not get any overnights,0
Didn’t get a trip,0
Didn’t get any preference  flights at all,0
Didn’t get any trips and got 4 BOCS.,3
Didn’t get any trips I bidded for,0
Didn’t get the days off I bid for,1
"Didn’t receive what I bidded for, I have asked for layovers the last couple of months and received none",0
Didn't bid for anything last month but this month I did & got nothing but STAR days which was used so I could have a weekend off as haven't had one for over 2 months,3
Didnt get ANY day off requests!,0
"didn't get any trip Request , this is 3rd month in row",0
"didn't get with in my sign off times, and no trips",0
Didn't receive my afternoon bid even though it was my highest bid.,1
Doesn’t seem to work everytime.,0
Don’t understand how I’m rostered BOCS/LATES/MORNINGS when I bidded for mornings and overnights. Major fatigue risk,0
Expect sick leave and when ran out  Very excited to take up pay cut as full-timer,0
