Roster Remarks,Cluster
☹️☹️☹️☹️,0
0 bids achieved,3
0 of my highest day of bids were met. Two single off days,3
2 trips and I ask for early 2 sector days. I am a primary carere,4
2 wks of lates and they're all long 4 sectors!!! Where are the late crew. Jbids doesn't work for CM.,2
25 words? 25 characters!!,0
3 out of 5 of my bids were all exact opposite of by bids,3
3 sectors BNE SYD BNE PER is very fatiguing due duty length.,0
4 sector duties when I asked for 2,0
4 trips rostered  I bid for 2-4 afternoon sectors Am stbys .. bid for PM's,1
A lot of paxxing,0
A minimum day off home base must be considered before starting another set of long duty,0
"Absolutely disgusting, early to late transitions, BOC, why are all my days off on a Tuesday/wednesday?! One of the worst rosters I’ve seen yet.",2
"Absolutely terrible, pairings with big breaks, blocks of 4 early’s in a row with stb where if I get used the stb on day 4 isn’t useable with FRMS",2
AI totally not following my instruction  l only wanted short early start end by 1100am it gave me trip and mix,4
All early shift.  I bid for late,2
"All of my Highest bid was 0 achieved and my High Medium Low bids which fell into these category only 3 was achieved. So technically my Highest was a waste of bids, not one was achieved where I could have used it for other purposes.",3
Always have the same bid every month & always only get the high preferred instead of my highest. Very disappointing however greatful to have a working roster,1
Annoying survey,0
"As expected. Not good, not bad.",0
"As international long haul crew such as SEQ Base, we recently have too many back to back flights, 3 or even 4 3day trip in a row. It causes physically and mentally fatigue.  If the roster creates a long trip, it should not roster 3 or 4 back-to-back.",0
Ask for lates only and continue to get early shifts mixed in with my lates,2
Asked for a specific day off and instead was rostered a 5 day trip. Makes it harder to swap out of. I dont bid for trips yet I keep getting rostered them.,1
AVL was waaayyy to much with that 6 in a row.,0
back to back balis are fatiguing,0
"Being part time I prefer all my duties together and BLN, OFF, and LVE days together, not rostered duty/ies in the middle",0
Bid for all night shifts gave me a 3am avls.,1
"Bid for single-day duties, received 5 trips.",1
"Bid is for two sectors post 6am, no overnights and PM a standby. Roster is opposite of this with many 5am shifts and 3am standby",1
Bidded for only trips and only received 1 the rest 4 sectors,1
buddy system not work,0
Could be better I have pms as preferred and getting ams can be difficult to over come.,0
Crammed all my flying after coming off annual leave,0
Crew should get varieties of trip not only Hnl,0
"Day off requests broken up, some granted and 2 middle days not granted rendering the time requested off as useless and unusable for what I wanted to do with family. Thanks!",0
Days off I request didn’t get  Flight I request didn’t get  Am and got a boc,0
Days off request denied.,0
"Did not achieve my bid preferences, and received a mixed roster with no structure or order",1
Did not get any of my bids,3
Didint get 5am sign ons- didnt get days off,0
Didn’t get the days off I bud for,0
didn't get with in my sign off times,0
Didn't receive my afternoon bid even though it was my highest bid.,1
Disgusting,0
